Equipment type,AREA,REGION,CLUSTER,IMG SubReg,agfa_wasquotedcreatedname,agfa_maintypecodename,FC category sort,IMG SubReg_1,agfa_weightedamountexcludingsma_base,destination
DR 100e,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,55157.73,POLAND
Valory Floor,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,92305.13,POLAND
DR 800,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,156600.0,GREECE
DR 100s,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,63030.53,POLAND
DX-D 300,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,73800.0,GREECE
Valory Floor,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,92223.99,POLAND
DX-D 300,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,72000.0,GREECE
DR 600,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,16200.0,GREECE
DR 800,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,164593.85,SERBIA
DR 400,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,81000.0,ITALY
DR 100e,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,45575.37,POLAND
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,16200.019999999999,GREECE
DR 800,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,173052.0,ITALY
DR 600,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,123300.0,GREECE
DX-D 300,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,3600.0,ITALY
DR 100s,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,79643.18,POLAND
DR 400,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,48510.0,SERBIA
DR 400,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,67770.0,CROATIA
DR 600,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,85401.0,GREECE
DR 400,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,73800.0,SERBIA
DR 600,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,129600.0,CZECHIA
DR 400,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,72244.3,POLAND
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,21235.58,GREECE
DR 600,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,154800.0,GREECE
DR 100s,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,54000.0,GREECE
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,21384.0,GREECE
DX-D 300,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,61200.0,GREECE
DX-D 300,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,RUSSIA,Yes,Expand existing business,1,RUSSIA,159072.66,RUSSIA
DR 100e,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ALMATY,Yes,Expand existing business,1,ALMATY,39780.0,KAZAKHSTAN
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,36810.0,GREECE
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,10710.0,GREECE
DR 100e,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,RUSSIA,Yes,Expand existing business,1,RUSSIA,44550.0,RUSSIA
Valory Ceiling,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,131020.81999999999,POLAND
DX-D 300,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,69029.81999999999,GREECE
DR 100s,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,402649.01000000007,POLAND
DR 400,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,22500.0,CYPRUS
DR 100s,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,512368.88,POLAND
DR 100s,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,62999.82,ITALY
DX-D 300,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,92790.0,GREECE
DR 600,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,102691.26,ITALY
DX-D 300,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,RUSSIA,Yes,Expand existing business,1,RUSSIA,67950.0,RUSSIA
DR 100e,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,32843.060000000005,POLAND
DR 100s,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,116500.03,POLAND
DX-D 300,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,61278.560000000005,ITALY
DR 100e,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,27687.769999999997,ITALY
DR 600,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,159004.13,POLAND
DR 100e,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,RUSSIA,Yes,Expand existing business,1,RUSSIA,41399.82,RUSSIA
DX-D 300,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,57176.14000000001,ITALY
DR 100s,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,196019.95,GREECE
DR 100e,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,27835.51,ITALY
DR 400,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,39150.0,GREECE
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,17255.0,GREECE
DR 600,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,No,Expand existing business,1,ITALY,5850.0,ITALY
DR 100e,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,RUSSIA,No,Expand existing business,1,RUSSIA,46500.0,RUSSIA
DX-D 300,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,RUSSIA,Yes,Expand existing business,1,RUSSIA,0.0,RUSSIA
DR 400,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,55350.0,SPAIN
DR 600,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,114196.59,SPAIN
DR 100s,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,72000.0,SPAIN
DR 100e,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,42300.0,SPAIN
DR 100e,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,45450.0,SPAIN
DR 600,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,115101.0,SPAIN
DR 100e,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,44110.94,SPAIN
DR 100s,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,72000.0,SPAIN
DR 400,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,55350.0,SPAIN
DX-D 300,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,75250.62,SPAIN
DR 100s,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,57150.0,SPAIN
DR 100e,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,44424.57,SPAIN
DR 100e,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,43896.61,SPAIN
DR 600,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,119700.0,SPAIN
DR 400,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,72000.14,SPAIN
DR 600,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,184050.0,SPAIN
DR 600,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,127620.0,SPAIN
DR 600,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,133200.0,SPAIN
DR 600,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,136633.4,SPAIN
DR 100e,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,42750.0,SPAIN
DR 400,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,75285.0,SPAIN
DR 600,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,126000.0,SPAIN
DR 400,IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA,Yes,Expand existing business,1,IBERIA,76500.0,SPAIN
