cr57c_accountid,cr57c_address2_country,cr57c_agfa_saprecordid
188D8B6E-22EB-ED11-8849-0022489FDDEE,United States of America,
D52D5475-22EB-ED11-8849-0022489FDE79,United States of America,
9FD208B1-22EB-ED11-8848-000D3AB11D4F,United States of America,
8712A3AE-21EB-ED11-8848-000D3ABADD85,United States of America,
076DE4AD-22EB-ED11-8849-000D3ADA93B4,United States of America,
48BDE8B3-22EB-ED11-8849-000D3ADA93B4,United States of America,
DE7C83AA-22EB-ED11-8849-0022489FD623,United States of America,
0017D6B0-22EB-ED11-8849-0022489FD9A7,United States of America,
100FF1AE-21EB-ED11-8849-0022489FDDEE,United States of America,
15382DB2-21EB-ED11-8849-000D3A680C8A,United States of America,
D604AFB4-21EB-ED11-8849-000D3ADA93B4,United States of America,
24FEBAB8-21EB-ED11-8849-0022489FD0DC,United States of America,
A9B88AB4-22EB-ED11-8849-0022489FD0DC,United States of America,
EE7C83AA-22EB-ED11-8849-0022489FD623,United States of America,
4069DCBA-21EB-ED11-8849-0022489FD80B,United States of America,
80248DAA-22EB-ED11-8849-0022489FD80B,United States of America,
D716D6B0-22EB-ED11-8849-0022489FD9A7,United States of America,
C5D1E0E3-61CD-ED11-B597-0022489FDDEE,United States of America,
23382DB2-21EB-ED11-8849-000D3A680C8A,United States of America,
BF8710AB-22EB-ED11-8848-000D3AB11D4F,United States of America,
C904AFB4-21EB-ED11-8849-000D3ADA93B4,United States of America,
A580B4B4-22EB-ED11-8849-0022489FC0D4,United States of America,
F71EE4B4-21EB-ED11-8849-0022489FD80B,United States of America,
6C8B1CAF-21EB-ED11-8849-000D3AB8FFBE,United States of America,
E504AFB4-21EB-ED11-8849-000D3ADA93B4,United States of America,
FF6CE4AD-22EB-ED11-8849-000D3ADA93B4,United States of America,
9EE2EAB5-21EB-ED11-8849-0022489FD093,United States of America,
FC7C83AA-22EB-ED11-8849-0022489FD623,United States of America,
DF1EE4B4-21EB-ED11-8849-0022489FD80B,United States of America,
081846AB-21EB-ED11-8849-0022489FDDCE,United States of America,
C08AD5B6-22EB-ED11-8849-0022489FD9A7,United States of America,
67C540B1-21EB-ED11-8849-0022489FDDCE,United States of America,
751EEEB4-21EB-ED11-8849-0022489FDDEE,United States of America,
08382DB2-21EB-ED11-8849-000D3A680C8A,United States of America,
1681B4B4-22EB-ED11-8849-0022489FC0D4,United States of America,
7F98F2AF-21EB-ED11-8849-0022489FD093,United States of America,
AFB88AB4-22EB-ED11-8849-0022489FD0DC,United States of America,
EC837EB1-22EB-ED11-8849-0022489FDE79,United States of America,
ED04AFB4-21EB-ED11-8849-000D3ADA93B4,United States of America,
8C05AFB4-21EB-ED11-8849-000D3ADA93B4,United States of America,
AE248DAA-22EB-ED11-8849-0022489FD80B,United States of America,
8DC540B1-21EB-ED11-8849-0022489FDDCE,United States of America,
EC1F82AA-22EB-ED11-8849-0022489FDDCE,United States of America,
FF1F82AA-22EB-ED11-8849-0022489FDDCE,United States of America,
FD5C86B0-22EB-ED11-8849-0022489FDDCE,United States of America,
32382DB2-21EB-ED11-8849-000D3A680C8A,United States of America,
B38710AB-22EB-ED11-8848-000D3AB11D4F,United States of America,
A4D208B1-22EB-ED11-8848-000D3AB11D4F,United States of America,
A604AFB4-21EB-ED11-8849-000D3ADA93B4,United States of America,
1705AFB4-21EB-ED11-8849-000D3ADA93B4,United States of America,
D8FD9FA8-22EB-ED11-8849-0022489FC0D4,United States of America,
D9248DAA-22EB-ED11-8849-0022489FD80B,United States of America,
D48AD5B6-22EB-ED11-8849-0022489FD9A7,United States of America,
52C3F8A8-21EB-ED11-8849-0022489FDDEE,United States of America,
0A05AFB4-21EB-ED11-8849-000D3ADA93B4,United States of America,
236DE4AD-22EB-ED11-8849-000D3ADA93B4,United States of America,
6C6DE4AD-22EB-ED11-8849-000D3ADA93B4,United States of America,
8ABDE8B3-22EB-ED11-8849-000D3ADA93B4,United States of America,
23E1EAB5-21EB-ED11-8849-0022489FD093,United States of America,
0A7D83AA-22EB-ED11-8849-0022489FD623,United States of America,
BE248DAA-22EB-ED11-8849-0022489FD80B,United States of America,
B98710AB-22EB-ED11-8848-000D3AB11D4F,United States of America,
32FEBAB8-21EB-ED11-8849-0022489FD0DC,United States of America,
